,戏曲,战争,Game-Show,惊悚,爱情,运动,悬疑,冒险,Reality-TV,真人秀,记录,西部,剧情,荒诞,动画,歌舞,紀錄片 Documentary,古装,脱口秀,同性,动作,武侠,Talk-Show,奇幻,黑色电影,News,短片,喜剧,鬼怪,科幻,历史,情色,儿童,恐怖,舞台艺术,纪录片,家庭,灾难,犯罪,音乐,传记
132783306,0.0,0.05555555555555555,0.0,0.05555555555555555,0.3888888888888889,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.16666666666666666,0.0,0.0,0.2777777777777778,0.0,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555
168456150,0.0,0.1,0.0,0.4,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1
26107963,0.0,0.03333333333333333,0.0,0.09166666666666666,0.25,0.0,0.13333333333333333,0.075,0.0,0.008333333333333333,0.0,0.008333333333333333,0.7416666666666667,0.0,0.06666666666666667,0.0,0.0,0.025,0.0,0.03333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.008333333333333333,0.26666666666666666,0.0,0.05,0.06666666666666667,0.0,0.008333333333333333,0.016666666666666666,0.0,0.058333333333333334,0.041666666666666664,0.0,0.2,0.03333333333333333,0.09166666666666666
64131473,0.0,0.03355704697986577,0.0,0.04697986577181208,0.33557046979865773,0.013422818791946308,0.06711409395973154,0.14093959731543623,0.0,0.06040268456375839,0.0,0.0,0.6040268456375839,0.0,0.09395973154362416,0.020134228187919462,0.0,0.040268456375838924,0.006711409395973154,0.013422818791946308,0.14093959731543623,0.020134228187919462,0.0,0.1342281879194631,0.0,0.0,0.006711409395973154,0.2550335570469799,0.0,0.08053691275167785,0.020134228187919462,0.006711409395973154,0.0,0.020134228187919462,0.0,0.020134228187919462,0.06711409395973154,0.013422818791946308,0.06711409395973154,0.013422818791946308,0.03355704697986577
91605802,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172286104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89070529,0.0,0.031746031746031744,0.0,0.30158730158730157,0.12698412698412698,0.0,0.3333333333333333,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.7619047619047619,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.09523809523809523,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.14285714285714285,0.0,0.047619047619047616,0.031746031746031744,0.031746031746031744,0.0,0.12698412698412698,0.0,0.0,0.14285714285714285,0.0,0.2698412698412698,0.015873015873015872,0.06349206349206349
39972093,0.0,0.08333333333333333,0.0,0.058333333333333334,0.4,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.825,0.0,0.025,0.025,0.0,0.0,0.0,0.10833333333333334,0.025,0.0,0.0,0.06666666666666667,0.008333333333333333,0.0,0.025,0.19166666666666668,0.0,0.03333333333333333,0.041666666666666664,0.025,0.0,0.0,0.0,0.05,0.058333333333333334,0.0,0.03333333333333333,0.10833333333333334,0.125
51934821,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
151435658,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
